Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Eric Hall,DBQ,0.174,25,19,69,12,12,5,0,0,9,17,0.246,8,3,13,2,0.288,0,2,1,4,2016
AJ Liddell,BVU,0.167,19,10,42,9,7,1,1,0,2,10,0.238,6,2,18,0,0.3,0,0,1,1,2016
Trey Kehoe,SIM,0.167,8,7,24,1,4,1,0,0,3,5,0.208,2,0,6,0,0.231,0,0,0,0,2016
Jacob Burns,COE,0.167,6,0,6,0,1,0,0,0,1,1,0.167,0,0,4,0,0.167,0,0,0,0,2016
Richard Bryza,LOR,0.167,4,2,6,0,1,0,0,0,1,1,0.167,1,0,3,0,0.286,0,0,0,0,2016
Keegin Brannin,SIM,0.161,18,7,31,5,5,0,0,0,2,5,0.161,3,1,10,0,0.257,0,0,2,2,2016
Jake Vogt,LUT,0.158,11,4,19,3,3,0,0,0,2,3,0.158,1,1,3,0,0.238,0,0,0,0,2016
Ty Porterfield,SIM,0.154,8,0,13,0,2,0,0,0,1,2,0.154,0,0,5,0,0.154,0,0,0,0,2016
Samuel Van Fleet,WAR,0.15,8,5,20,2,3,0,0,0,3,3,0.15,3,0,6,0,0.261,0,0,0,0,2016
Cale Ewald,BVU,0.143,9,1,14,2,2,0,0,0,0,2,0.143,0,0,6,0,0.143,0,0,0,0,2016
Jared Herzog,SIM,0.143,6,0,7,3,1,0,0,0,0,1,0.143,0,0,0,0,0.143,0,0,0,0,2016
Tanner Westmoreland,WAR,0.125,5,1,8,0,1,1,0,0,1,2,0.25,0,0,3,0,0.125,0,0,0,0,2016
Brandt Ames,COE,0.125,8,2,8,0,1,0,0,0,1,1,0.125,1,0,2,0,0.2,1,0,0,0,2016
Phillip Byrd,DBQ,0.125,11,0,8,1,1,0,0,0,2,1,0.125,1,0,1,0,0.222,0,0,0,0,2016
Tyler Mougin,WAR,0.114,15,8,35,0,4,0,0,0,1,4,0.114,2,0,8,0,0.162,0,0,1,1,2016
Thomas Simon,COE,0.111,13,6,18,3,2,1,0,0,0,3,0.167,0,3,11,0,0.238,0,1,1,1,2016
Austin Lechtenberg,WAR,0.111,5,2,9,0,1,0,1,0,0,3,0.333,0,0,1,0,0.111,0,0,0,0,2016
Seth Griffiths,CEN,0.108,15,10,37,3,4,0,0,0,2,4,0.108,2,0,6,0,0.154,0,1,3,3,2016
Chris Riddle,CEN,0.091,6,4,11,0,1,1,0,0,1,2,0.182,3,0,2,0,0.286,0,1,0,0,2016
Steim,BVU,0.091,8,2,11,3,1,0,1,0,2,3,0.273,1,0,3,0,0.167,0,0,0,0,2016
Dylan Diveney,CEN,0.077,5,4,13,2,1,0,0,0,0,1,0.077,1,1,3,0,0.2,0,1,1,1,2016
Nick Carlisle,SIM,0.063,9,7,16,3,1,0,0,0,1,1,0.063,3,1,3,0,0.25,0,0,2,2,2016
Jake Anctil,SIM,0.059,13,2,17,2,1,0,0,0,1,1,0.059,3,2,5,0,0.261,1,0,0,0,2016
Kyle Ferree,CEN,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,2016
Sean Miller,LOR,0,11,0,4,3,0,0,0,0,0,0,0,2,0,1,0,0.333,0,0,0,0,2016
Jackson Sheppard,DBQ,0,5,0,2,0,0,0,0,0,0,0,0,2,1,2,0,0.6,0,0,0,0,2016
Jordahl,LUT,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Nathan Carlin,SIM,0,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Thomas Greffly,LOR,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Joey Sullivan,LUT,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Brandon Hull,SIM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Parker Bolt,WAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
17,LOR,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Toby Wall,CEN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Ruben Olavarria,DBQ,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Hoffman,LOR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Andrew Wrona,LOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Jordan True,LUT,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Colin Sexton,SIM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Cameron Frazier,COE,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Brent Parker,CEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
P.J. Carey,CEN,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2016
Nate Beckman,LUT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Robert Primrose,WAR,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Kyle Sawyer,BVU,1,4,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2004
Marc Goeders,BVU,0.417,9,4,12,3,5,0,0,0,2,5,0.417,0,1,2,0,0.462,0,1,2,2,2004
Ben Lickteig,BVU,0.367,39,39,128,36,47,9,0,5,33,71,0.555,23,6,24,2,0.478,2,1,7,10,2004
Brian Ricken,BVU,0.365,37,37,137,39,50,5,0,0,14,55,0.401,8,2,17,0,0.403,2,6,13,14,2004
Kent Bass,BVU,0.351,26,24,74,20,26,2,0,1,13,31,0.419,9,0,9,0,0.422,0,1,0,0,2004
Nick Viet,BVU,0.333,2,1,3,0,1,0,0,0,0,1,0.333,1,0,1,0,0.5,0,0,0,0,2004
Alex Fokken,BVU,0.298,19,14,57,12,17,2,0,0,7,19,0.333,2,0,13,0,0.322,0,2,1,1,2004
Joe Poole,BVU,0.294,38,37,119,40,35,4,1,6,24,59,0.496,31,5,22,0,0.455,1,0,11,14,2004
Mike Soenen,BVU,0.294,38,38,119,33,35,11,1,4,48,60,0.504,23,2,24,2,0.408,3,0,8,8,2004
Derek Fink,BVU,0.29,37,32,100,18,29,6,2,1,21,42,0.42,17,5,17,0,0.415,1,2,1,2,2004
Dan Nuehring,BVU,0.27,32,26,74,15,20,4,0,0,11,24,0.324,8,2,13,0,0.353,1,2,0,0,2004
Matt Reichle,BVU,0.252,35,33,103,24,26,6,0,1,19,35,0.34,14,5,14,2,0.363,2,1,0,0,2004
Cory Kennedy,BVU,0.225,32,32,89,11,20,7,0,2,20,33,0.371,6,6,19,0,0.317,0,1,0,1,2004
Justin Burns,BVU,0.222,23,12,45,6,10,1,0,2,4,17,0.378,8,0,16,1,0.34,0,0,0,0,2004
Adam Hardie,BVU,0.212,17,9,33,5,7,1,0,0,5,8,0.242,8,0,11,0,0.366,0,1,2,2,2004
Mike Koenecke,BVU,0.211,10,7,19,3,4,2,0,0,2,6,0.316,0,0,5,0,0.211,0,3,0,0,2004
Justin List,BVU,0.125,3,2,8,0,1,1,0,0,2,2,0.25,0,0,2,0,0.125,0,0,0,0,2004
Justin Poole,BVU,0.125,7,3,8,2,1,0,0,0,0,1,0.125,2,0,0,0,0.3,0,0,0,0,2004
Michael Barta,BVU,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Dustin Schulz,BVU,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,2004
Jeremiah Knutzen,BVU,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2004
Tyler Nitz,BVU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Adam Duerfeldt,CEN,0.366,39,39,145,27,53,10,3,1,31,72,0.497,5,4,9,2,0.395,3,2,4,6,2004
Steve Gebhart,CEN,0.359,42,42,153,31,55,11,0,6,40,84,0.549,8,3,23,3,0.388,6,3,1,1,2004
Pat Johnson,CEN,0.357,42,42,140,42,50,8,2,15,50,107,0.764,19,8,25,1,0.456,2,7,4,4,2004
Tom Sheehan,CEN,0.333,34,34,108,22,36,5,1,2,20,49,0.454,7,3,34,0,0.39,0,2,0,1,2004
Matt Murphy,CEN,0.317,32,30,101,18,32,3,0,0,19,35,0.347,12,0,11,2,0.383,2,2,0,0,2004
Brett Delaney,CEN,0.308,19,6,26,6,8,3,0,0,4,11,0.423,4,1,8,1,0.406,1,1,0,0,2004
Shea Stamp,CEN,0.304,40,40,138,29,42,9,1,5,28,68,0.493,17,6,19,0,0.401,1,3,4,5,2004
Kody Wohlers,CEN,0.301,42,41,123,30,37,14,2,0,17,55,0.447,20,11,32,3,0.439,1,3,1,1,2004
Dan Flaherty,CEN,0.286,14,2,7,10,2,0,0,0,0,2,0.286,1,0,1,1,0.375,0,1,2,2,2004
Nate Landas,CEN,0.277,42,42,148,37,41,7,3,0,14,54,0.365,21,13,25,1,0.41,1,6,4,5,2004
Austin DeHoogh,CEN,0.27,27,24,74,16,20,2,1,1,10,27,0.365,14,2,10,1,0.4,0,2,5,6,2004
Josh Sandin,CEN,0.265,37,26,102,10,27,4,2,1,15,38,0.373,9,2,24,2,0.336,0,1,1,1,2004
Casey Olney,CEN,0.16,14,10,25,4,4,0,0,0,2,4,0.16,4,0,7,0,0.276,0,2,0,0,2004
Matt Kuempel,CEN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Jeremy Robinson,CEN,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Tanner Ludwig,CEN,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2004
Kasey Reilly,COE,0.5,5,0,2,1,1,1,0,0,1,2,1,0,0,1,0,0.5,0,0,0,0,2004
Will Renner,COE,0.4,43,42,140,29,56,15,0,11,47,104,0.743,20,4,28,0,0.488,0,1,1,1,2004
Tim Higgins,COE,0.388,44,44,160,42,62,19,2,6,42,103,0.644,17,5,12,3,0.457,2,1,15,17,2004
Grant Lodden,COE,0.385,9,3,13,2,5,0,0,0,5,5,0.385,2,0,2,0,0.438,1,0,0,0,2004
Chad Kramer,COE,0.351,42,41,148,34,52,10,2,7,37,87,0.588,17,0,24,0,0.411,3,0,8,12,2004
Eric Hemesath,COE,0.331,43,42,139,30,46,14,2,2,23,70,0.504,25,3,14,2,0.438,2,1,7,9,2004
Josh Schauf,COE,0.308,42,42,133,24,41,5,0,3,19,55,0.414,5,8,18,3,0.37,0,2,4,5,2004
Jon Schroeder,COE,0.297,44,44,145,45,43,14,2,8,38,85,0.586,25,3,25,3,0.401,4,0,12,17,2004
Ashton Northern,COE,0.294,17,0,17,3,5,0,0,1,4,8,0.471,2,0,4,0,0.35,1,1,0,0,2004
Nathan Dlouhy,COE,0.29,40,36,124,33,36,5,2,6,25,63,0.508,10,4,26,0,0.362,0,2,12,12,2004
Travis Wiltgen,COE,0.284,43,43,134,38,38,6,1,1,21,49,0.366,37,5,30,0,0.452,1,4,20,21,2004
Jase Jensen,COE,0.25,25,2,12,7,3,1,0,0,1,4,0.333,1,0,3,0,0.308,0,0,9,11,2004
Quince Springer,COE,0.25,5,0,4,1,1,0,0,0,0,1,0.25,0,0,2,0,0.25,0,0,0,0,2004
Ryan Smuck,COE,0.227,41,35,88,15,20,4,0,1,7,27,0.307,6,2,32,0,0.292,0,4,2,3,2004
Justin Maxwell,COE,0.22,33,19,59,11,13,3,0,0,10,16,0.271,8,3,10,1,0.333,2,2,4,4,2004
Andrew Roder,COE,0.211,15,2,19,2,4,2,0,0,5,6,0.316,1,0,6,0,0.25,0,1,0,0,2004
Chad Osler,COE,0,6,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2004
Bart Dlouhy,COE,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Nate Moore,COE,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Nick Luke,COE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Dominic Wilson,COR,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2004
Danny Love,COR,0.343,39,39,134,24,46,5,0,1,17,54,0.403,9,2,17,1,0.383,4,6,1,1,2004
Todd Reichart,COR,0.338,39,39,136,36,46,8,1,4,27,68,0.5,10,3,17,3,0.393,1,1,8,9,2004
Ricky Legree,COR,0.331,39,39,124,35,41,10,0,1,17,54,0.435,16,6,13,1,0.426,2,1,1,3,2004
Nate Eichmeyer,COR,0.325,37,37,120,26,39,8,0,5,35,62,0.517,8,7,20,4,0.391,3,0,1,1,2004
Justin Mashburn,COR,0.298,39,39,121,28,36,8,0,1,22,47,0.388,12,4,15,1,0.377,1,4,0,0,2004
Pat Block,COR,0.293,39,39,150,31,44,9,0,0,13,53,0.353,6,1,14,3,0.325,0,3,8,10,2004
Tom Mager,COR,0.267,25,22,75,10,20,2,0,1,11,25,0.333,1,0,19,1,0.273,1,0,0,0,2004
Adam Hadenfeldt,COR,0.266,39,38,109,12,29,4,2,0,20,37,0.339,10,1,10,1,0.331,1,7,1,2,2004
Drew Simonis,COR,0.234,39,39,124,20,29,7,0,2,25,42,0.339,10,2,17,4,0.295,3,3,0,0,2004
Joey Campanelli,COR,0.227,12,8,22,2,5,1,0,0,1,6,0.273,1,1,5,0,0.292,0,1,0,0,2004
Kevin Moses,COR,0.196,19,12,46,7,9,4,0,1,8,16,0.348,1,1,11,0,0.229,0,1,0,0,2004
Kyle Crawford,COR,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
Jared Spangenberg,COR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2004
Ryan Suttenfield,COR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
Kevin Van Dyke,COR,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2004
Cameron Wendt,COR,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Josh Beebe,COR,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Travis Lyons,DBQ,0.375,39,39,136,29,51,8,1,4,25,73,0.537,7,7,21,1,0.43,1,0,7,8,2004
Jarred Koos,DBQ,0.368,11,7,19,4,7,0,0,0,3,7,0.368,2,0,3,0,0.429,0,0,0,1,2004
Keith Bernard,DBQ,0.348,37,36,115,18,40,5,2,0,13,49,0.426,17,2,23,4,0.44,0,5,2,6,2004
Justin Shepard,DBQ,0.316,39,39,114,24,36,5,0,3,30,50,0.439,36,1,18,0,0.474,3,1,0,0,2004
Joe Hapanionek,DBQ,0.305,39,39,128,24,39,7,1,7,31,69,0.539,15,4,30,3,0.387,3,0,1,1,2004
Jimmy Hudson,DBQ,0.304,17,6,23,2,7,1,0,0,4,8,0.348,7,0,1,1,0.452,1,1,0,0,2004
Cole Lyons,DBQ,0.298,32,32,104,23,31,7,3,0,10,44,0.423,10,9,16,0,0.407,0,2,5,7,2004
Nathan Mozena,DBQ,0.287,33,29,87,13,25,2,0,1,11,30,0.345,10,1,16,1,0.36,2,3,0,0,2004
Mark Becker,DBQ,0.282,34,33,103,17,29,5,0,1,19,37,0.359,7,1,21,1,0.33,1,3,3,3,2004
Jeremy Rannals,DBQ,0.267,32,32,101,18,27,6,2,1,10,40,0.396,12,6,23,2,0.375,1,2,10,12,2004
Tim Griffith,DBQ,0.247,29,26,81,11,20,3,0,3,10,32,0.395,7,0,17,1,0.303,1,0,0,0,2004
Jason Crane,DBQ,0.239,24,16,46,5,11,3,0,0,8,14,0.304,2,4,16,1,0.315,2,1,0,0,2004
Jamey Rannals,DBQ,0.182,8,5,11,0,2,0,0,0,2,2,0.182,5,2,2,0,0.5,0,0,0,0,2004
Ben Ecker,DBQ,0.154,9,3,13,1,2,0,0,0,0,2,0.154,1,0,4,1,0.214,0,0,0,0,2004
Andy Peterson,DBQ,0.1,9,3,10,1,1,0,0,0,0,1,0.1,0,1,4,0,0.182,0,1,0,0,2004
Christopher Tanne,DBQ,0,14,2,6,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2004
Kyle Miller,DBQ,0,10,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0,0,0,2004
Dustin Hauswirth,DBQ,0,2,2,4,1,0,0,0,0,0,0,0,1,0,3,1,0.2,0,0,0,0,2004
Kamron Koplitz,DBQ,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Mitch Williams,DBQ,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
Josh Uhenhake,DBQ,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Mike Cassidy,DBQ,0.5,2,0,2,0,1,0,0,0,1,1,0.5,0,0,0,0,0.5,0,0,0,0,2004
Patrick Reilly,LOR,0.667,18,0,6,9,4,0,0,0,2,4,0.667,0,0,0,1,0.667,0,0,2,3,2004
Ryan Von Haden,LOR,0.393,35,34,107,18,42,12,0,2,26,60,0.561,16,2,12,0,0.472,2,1,1,1,2004
Tom Andrews,LOR,0.372,36,35,129,32,48,12,2,5,25,79,0.612,2,8,18,2,0.411,2,0,18,20,2004
AJ Sagen,LOR,0.333,22,18,54,7,18,1,0,0,6,19,0.352,4,3,8,0,0.41,0,0,0,1,2004
Tim Schneden,LOR,0.333,6,0,3,2,1,0,0,0,0,1,0.333,0,0,2,0,0.333,0,0,2,2,2004
George Bruggenthe,LOR,0.333,11,0,3,2,1,0,0,0,0,1,0.333,0,0,2,0,0.333,0,0,3,3,2004
Bobby Bibeau,LOR,0.326,36,36,132,27,43,8,2,1,24,58,0.439,8,3,15,2,0.375,1,0,1,1,2004
Chet Medinger,LOR,0.319,36,35,116,32,37,6,2,2,16,53,0.457,22,3,20,0,0.44,0,1,15,17,2004
Kris Thomas,LOR,0.312,14,4,16,2,5,1,0,0,0,6,0.375,2,0,2,0,0.389,0,0,1,2,2004
Greg Williams,LOR,0.3,9,3,10,3,3,0,1,0,3,5,0.5,0,1,4,0,0.364,0,0,0,0,2004
Eric Gold,LOR,0.292,36,35,96,8,28,6,0,0,16,34,0.354,9,7,14,4,0.379,4,2,1,1,2004
Ryan Bender,LOR,0.286,26,20,70,14,20,2,1,1,11,27,0.386,4,0,15,0,0.324,0,1,2,4,2004
Matt Mausser,LOR,0.268,17,14,41,6,11,3,1,1,14,19,0.463,2,1,10,0,0.311,1,0,1,1,2004
Dustin Roth,LOR,0.255,33,33,102,7,26,4,0,0,16,30,0.294,8,4,21,3,0.33,1,0,2,3,2004
Aaron Meyer,LOR,0.213,18,15,47,4,10,1,0,1,6,14,0.298,4,1,15,1,0.288,0,0,0,0,2004
Tim Andrews,LOR,0.2,4,1,5,0,1,0,0,0,1,1,0.2,0,0,1,0,0.2,0,0,0,1,2004
Brad Hingtgen,LOR,0.171,19,14,35,6,6,1,2,0,4,11,0.314,4,2,12,0,0.293,0,0,2,2,2004
Rob Rossi,LOR,0.167,9,4,12,2,2,0,0,0,0,2,0.167,1,0,0,0,0.231,0,1,1,1,2004
Jeff Plasschaert,LOR,0.158,10,5,19,2,3,0,0,0,1,3,0.158,3,1,0,2,0.304,0,0,1,1,2004
Jesse Freiberger,LOR,0.106,24,16,47,7,5,2,0,0,5,7,0.149,7,0,8,0,0.222,0,1,1,1,2004
Aaron Becker,LOR,0.083,14,1,12,1,1,0,0,1,2,4,0.333,0,0,5,0,0.083,0,0,0,0,2004
Tom Sieverding,LOR,0,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2004
Tim Cundiff,LOR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
Jon Ludovissy,LOR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
David Fischer,LOR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
John Jaeger,LUT,0.417,39,39,139,47,58,14,3,5,35,93,0.669,9,5,14,4,0.468,1,0,7,8,2004
David Zelinskas,LUT,0.338,39,38,139,28,47,5,0,0,15,52,0.374,15,2,14,0,0.403,3,2,8,10,2004
Kyle Schroeder,LUT,0.33,36,33,112,27,37,9,3,4,36,64,0.571,7,6,29,0,0.397,1,1,1,1,2004
Michael Schmalfel,LUT,0.318,24,17,66,17,21,2,1,0,10,25,0.379,4,0,5,1,0.357,0,1,4,4,2004
Steve Lunn,LUT,0.312,37,37,112,19,35,5,0,2,19,46,0.411,9,6,16,2,0.391,1,2,6,6,2004
Brad Paulsrud,LUT,0.306,38,38,124,27,38,7,1,2,31,53,0.427,15,0,19,2,0.381,0,5,4,4,2004
Spencer Jones,LUT,0.3,24,10,40,7,12,2,1,3,13,25,0.625,5,1,7,0,0.391,0,1,2,2,2004
Matt Cessna,LUT,0.296,35,32,98,20,29,2,0,0,8,31,0.316,12,0,16,2,0.369,1,3,4,6,2004
Neil Theisen,LUT,0.287,39,38,122,27,35,6,1,2,20,49,0.402,7,1,19,2,0.328,1,5,2,2,2004
Kyle Pearson,LUT,0.27,29,29,89,14,24,3,1,0,16,29,0.326,9,2,24,0,0.35,0,0,2,2,2004
Tim Carroll,LUT,0.25,8,1,4,3,1,0,0,0,0,1,0.25,1,0,0,0,0.4,0,0,0,0,2004
Troy Peterson,LUT,0.2,7,0,5,1,1,0,0,0,1,1,0.2,2,0,2,0,0.429,0,0,0,0,2004
Brock Reed,LUT,0.184,37,36,87,14,16,4,0,0,14,20,0.23,20,2,17,1,0.345,1,3,3,4,2004
Michael Nass,LUT,0,2,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2004
Ryan Klein,LUT,0,9,1,2,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2004
Adam Klaren,LUT,0,5,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0.333,0,0,0,0,2004
Tom Swenson,LUT,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Erik Matth,LUT,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2004
Aaron Roland,SIM,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2004
Dan Rieck,SIM,0.443,47,45,174,41,77,11,4,9,51,123,0.707,12,2,32,0,0.476,3,0,2,3,2004
Grant Fjetland,SIM,0.39,46,46,164,48,64,7,3,0,36,77,0.47,17,12,17,2,0.479,1,6,30,35,2004
Mike Donnenwerth,SIM,0.385,47,47,148,47,57,9,2,12,46,106,0.716,24,11,40,2,0.492,4,1,3,5,2004
Chris Cyronek,SIM,0.377,45,44,151,30,57,7,0,2,31,70,0.464,9,3,32,2,0.423,0,1,2,2,2004
Troy Hatten,SIM,0.368,47,47,182,50,67,18,3,6,56,109,0.599,13,3,22,0,0.411,4,2,25,26,2004
Brett Murphy,SIM,0.349,40,40,126,32,44,11,0,4,23,67,0.532,14,6,16,1,0.427,4,2,1,2,2004
Chris Beall,SIM,0.344,47,47,160,39,55,9,1,6,38,84,0.525,7,4,23,2,0.377,4,2,1,1,2004
James Brown,SIM,0.34,37,12,50,16,17,3,2,1,11,27,0.54,13,1,13,0,0.477,1,0,2,3,2004
Adam Wieck,SIM,0.333,4,0,3,0,1,0,0,0,0,1,0.333,0,0,1,0,0.333,0,0,0,0,2004
Dusty Kain,SIM,0.312,44,40,141,33,44,7,5,0,18,61,0.433,11,1,20,2,0.366,0,2,15,17,2004
Joey Young,SIM,0.301,46,46,143,35,43,14,0,6,28,75,0.524,17,3,25,1,0.377,4,1,3,3,2004
Blake Shepherd,SIM,0.2,5,0,5,1,1,1,0,0,0,2,0.4,0,1,1,0,0.333,0,0,0,0,2004
Ross Anderson,SIM,0.133,17,2,15,1,2,1,0,0,2,3,0.2,0,0,5,0,0.133,0,0,0,0,2004
Justin Stoulil,SIM,0.118,13,4,17,2,2,0,0,1,4,5,0.294,2,2,7,0,0.273,1,0,0,0,2004
JD Hews,SIM,0,12,2,8,0,0,0,0,0,0,0,0,2,0,2,0,0.2,0,0,0,0,2004
David Isaacson,SIM,0,3,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2004
TJ Kasperbauer,SIM,0,8,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2004
Ben Ramsay,SIM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
AJ Simmons,SIM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Joel Reynolds,WAR,0.422,45,45,173,46,73,22,3,4,37,113,0.653,15,1,11,1,0.461,4,0,20,20,2004
Brian Greiner,WAR,0.383,45,45,167,37,64,12,3,7,55,103,0.617,16,0,11,1,0.437,0,2,4,5,2004
Aaron Port,WAR,0.38,43,37,137,37,52,7,2,1,26,66,0.482,14,11,20,2,0.464,4,1,14,19,2004
Brian Pins,WAR,0.338,45,45,157,31,53,14,2,1,23,74,0.471,10,1,24,4,0.374,3,3,6,7,2004
Chris Winter,WAR,0.331,43,43,166,38,55,5,1,2,31,68,0.41,13,1,26,4,0.379,2,4,17,23,2004
Chris Robertson,WAR,0.306,36,36,108,20,33,6,2,0,21,43,0.398,14,3,10,4,0.391,3,3,0,0,2004
Caleb Klein,WAR,0.286,43,43,154,39,44,14,0,9,35,85,0.552,11,6,21,2,0.349,4,0,2,3,2004
Tito Romero,WAR,0.267,26,21,75,16,20,3,1,1,16,28,0.373,9,0,9,1,0.341,1,0,1,1,2004
Casey Toops,WAR,0.258,39,39,128,27,33,6,0,0,18,39,0.305,17,12,22,1,0.385,4,3,9,13,2004
Patrick Henderson,WAR,0.252,38,34,115,27,29,5,0,0,11,34,0.296,17,3,17,2,0.36,1,6,9,9,2004
Rick Hillard,WAR,0.25,3,2,8,0,2,0,0,0,1,2,0.25,0,0,3,0,0.25,0,0,0,0,2004
Nathan Carlson,WAR,0.211,9,6,19,2,4,1,0,0,1,5,0.263,1,0,6,0,0.25,0,0,0,0,2004
Mark Numedahl,WAR,0.182,4,3,11,2,2,0,0,0,2,2,0.182,2,1,2,0,0.357,0,0,0,0,2004
Steve Domino,WAR,0.091,5,4,11,0,1,0,0,0,1,1,0.091,1,0,4,0,0.167,0,0,0,0,2004
Brandon Steinbrec,WAR,0,1,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2004
Tom Kersbergen,WAR,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2004
Tim Rodemeyer,WAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
Jeff Spiwak,WAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004
Orlando Rivas,WAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Ryan Martin,WAR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
