Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Jeff Spiwak,WAR,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.333,1,0,0,0,2003
Michael Nass,LUT,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Doug Ongie,LUT,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Tyler Neer,BVU,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2003
Kevin Moses,COR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Patrick Henderson,WAR,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003
Cody Tibbetts,BVU,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Jeremiah Knutzen,BVU,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2003
Ted Cemper,BVU,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2003
Jon Osborn,UIU,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Kent Patterson,CEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Justin Kingrey,CEN,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Adam Rozenboom,CEN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Jason Kuffel,LOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Justin Bro,BVU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Alex Foell,CEN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
Jase Jensen,COE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003
Joe Campanelli,COR,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
James Vorbau,LOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
TJ Chase,DBQ,1,1,0,2,1,2,1,0,0,1,3,1.5,0,0,0,0,1,0,0,0,0,2005
Kent Patterson,CEN,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2005
Jeff Weisenborn,BVU,1,6,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,2005
Jared Greenfield,CEN,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2005
