attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
49,"Apr 28, 2009",simgrn2,,Mendoza,Suryn,Nodzenski,Roder,Maloney,Takabuki,Sollo,Bogard,Prouty,1,6,Pope,13,10011021X,ss,lf,c,rf,1b,2b,3b,dh,cf,Myers,"grinnell college
",Grinnell College,Clint Rhodes,,9.0,Y,,"Grinnell, Iowa (North Diamond)",2:30 pm   ,2:13   ,,"simpson college
",Simpson College,Corey Rasmussen,Jesse Reis,Scott Ethell,Cory Dawson,Dave Johnson,Curt Bjork,Chris Jones,Jason Hayes,Cale Smith,1,5,Clint Rhodes,10,010000400,cf,2b,3b,dh,1b,c,lf,rf,ss,Brandon Harrison,,Pope
67,"Mar 08, 2009",wargac2,2,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Billy Schmitt,A.J. Lewis,Isiah Stevens,Zach Nagle,4,6,Danny Rose,8,1041000,lf,2b/p,cf,1b,rf,dh,c,3b,ss,Brad Watson,"wartburg college
",Wartburg College,Brad Watson,,7.0,Y,,"Minneapolis, MN (HHH Metrodome)",8:35 PM   ,2:00   ,HP: Jon Fox  2B: Brian Do,"gustavus adolphus
",Gustavus Adolphus,M. DesLaurie,T. Fish,T. Herman,Al. Woitas,M. Morgan,B. Boyd,An. Woitas,N. Ruff,G. Lane,1,13,Al. Woitas,13,0012091,ss,dh,3b,1b/p,c,rf,cf,2b,lf,A. Bren,,Al. Woitas
100,"Apr 03, 2009",bvucor2,2,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,1,4,Kyle Dupic,3,000004X,ss,3b,rf,lf,c,1b,dh,cf,2b,Nathan Smejkal,#23 buena vista univ.,#23 Buena Vista Univ.,Adam Butler,,7.0,Y,,"Storm Lake, Iowa (BVU/SL High School)",7:00pm   ,1:30   ,,"cornell college
",Cornell College,David Bartine,Casey Korn,Michael Tierney,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Matt Pfister,Andy Krekel,Jesse Searls,0,1,Casey Korn,5,0001000,rf,3b/p,cf,dh/lf,1b,ss,lf,c,2b,Adam Butler,,Kyle Dupic
100,"Mar 28, 2009",bvuuchi,,Schmitt,Osman,Hofer,Williams,Capps,Serpico,Blane,Gonzalez,Fazzari,3,7,Atteberry,8,013030000,cf,lf,1b,3b,dh,ss,rf,c,2b,Oium,u of chicago,U of Chicago,Garcia,,9.0,Y,,"Chandler, AZ (Snedigar Field)",9:30 am   ,3:10   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Brett Wilson,Garrett Hill,Michael Stephenson,5,12,Kyle Dupic,21,102012330,dh,3b,cf,lf,c,1b,ss,rf,2b,Nathan Smejkal,,James Stone
55,"Mar 04, 2009",warumary,,"Steffan, T.","Burrough, M.","Leer, A.","Liffrig, T.","Herauf, B.","Gray, C.","Quintus, B.","Watson, N.","Kiyota, D.",3,3,"Long, T.",6,000102000,cf,rf,ss,1b,dh,2b,c,3b,lf,"Porter, T.",university of mary,University of Mary,"Porter, T.",,9.0,Y,,"Phoenix, Ariz.",1:30 pm   ,2:00   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Kyle Jones,A.J. Lewis,Zach Nagle,Steve Chamberlin,1,9,Danny Rose,9,310002102,lf,ss/p,cf,1b,rf,dh,c,3b/ss,2b,Billy Schmitt,,Billy Schmitt
163,05/17/09,waruww,,Ben Roemmich,Danny Rose,Mike Johnson,Jerrold Martijn,Patrick Grau,Kyle Jones,A.J. Lewis,Isiah Stevens,Zach Nagle,2,3,Nate Rost,9,000200010,lf,ss,1b,dh,cf,rf,c,3b,2b,Brad Watson,"wartburg college
",Wartburg College,Brad Watson,,9.0,Y,,"Moline, Illinois (Swanson/Brunner)",10:03 am   ,1:59   ,HP: Paul Cusack  1B: Jeff Frese  2B: Kevin Wirth  3B: Ron Mohl,wisconsin-whitewater,Wisconsin-Whitewater,Wong,Kuhlmann,Coe,Zalnis,Millar,Petrasko,Beyer,Wessels,Rechlitz,2,8,Hanson,14,010003400,cf,2b,c,rf,1b,dh,lf,ss,3b,Hanson,,Hanson
254,"Apr 21, 2009",coewar2,1,Jeff Wagner,Adam Nisenson,Pat Richmond,Ryan Schisler,Ryan Velvick,Tyler McAllister,John Logan,Spencer Sobba,Scott DeAngelis,4,12,Sean Raisch,15,3150102,lf,rf,1b,3b,cf,ss,dh,c,2b,Alec Lewis,"coe college
",Coe College,Billy Schmitt,,7.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:10 pm   ,2:20   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Mike Johnson,Billy Schmitt,Patrick Grau,Kyle Jones,A.J. Lewis,Zach Nagle,Steve Chamberlin,1,11,Billy Schmitt,17,4100411,lf,ss,1b,dh/p,cf,rf,c,3b,2b,Jake Kuennen,,Sean Raisch
150,"Apr 03, 2009",censim1,,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Scott Ethell,Dave Johnson,Curt Bjork,Jared Swim,Jason Hayes,4,7,Chris Dorff,9,210000211,ss,2b,lf,dh,3b,1b,c,cf,rf,Clint Rhodes,"simpson college
",Simpson College,Adam Squires,,9.0,Y,,"Indianola, Iowa (McBride Field)",6:00   ,2:20   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Dave Lakin,Blake Smith,Anthony Miller,Tyler Wivinis,1,6,Adam Squires,8,021101010,cf,2b,lf,1b,rf,dh,c,3b,ss,D.J. Glasgow," Warm, Clear     ",Chris Dorff
250,"Feb 28, 2009",corclrk1,1,Matthew Shimanovsky,Jason Douglas,Casey Korn,Andrew Patzke,Caleb Wilson,Nick Weinmeister,Dan Krauss,Ryan Fincham,Jesse Searls,1,2,Casey Korn,3,000002X,ss,c,p,lf,rf,3b,1b,cf,2b,Casey Korn,"cornell college
",Cornell College,Gagnon,,7.0,Y,,Lake Myrtle (Field 4),11:45   ,1:40   ,,"clark university
",Clark University,DeMartino,Kopec,Hollingswort,Tillo,DeLorenzo,P. DiMarco,Solecki,Kellogg,Gerber,0,1,Gagnon,3,1000000,cf,c,rf,dh,2b,lf,3b,1b,ss,Merritt,,Casey Korn
348,"May 07, 2009",iiac03,,Nate Neis,Chris Reynolds,Jake Waddle,Zack Topping,Mark Weber,Steve Beckman,Ben Schott,Joe Thompson,Alex Thomas,1,3,Nate Todd,4,02000010X,3b,2b,c,dh,lf,ss,1b,rf,cf,Adam Kohls,"luther college
",Luther College,Cody Raisch,,9.0,Y,,"Cedar Rapids, Iowa (Veteran's Stadium)",6:05 pm   ,1:54   ,HP: Scott Bein  1B: Larry Allen  3B: Eric Thornton,"coe college
",Coe College,Jeff Wagner,Adam Nisenson,Pat Richmond,Ryan Schisler,Ryan Velvick,Tyler McAllister,John Logan,Max Tunning,Jon Reiner,3,2,Cody Raisch,6,000101000,cf,rf,1b,lf,3b,ss,dh,2b,c,Cody Raisch,,Adam Kohls
,"Mar  9, 2009",dbqhuss1,,Chris Hylland,Richard Garcia,Evan Bierman,Alex Larson,Jesse Ramirez,Shadi Abuhakmeh,Chris Duran,Ryan Pyles,Caleb Russell,4,13,Justin Ramos,15,029020000,2b,lf,3b,cf,c,rf,1b,dh,ss,Blayke Conway,"dubuque, univ. of","Dubuque, Univ. of",Justin Ramos,,9.0,Y,,"Auburndle, Fla. (Lake Myrtle Park)",5:17   ,  ,,husson university,Husson University,Kyle Vanides,Ethan Gueret,Chris Maguir,Jake Arthers,Dennis Graha,Jeff Miller,Tom Crews,Billy Shanno,Cody Haverly,3,14,Ryan Walker,15,303101015,lf,ss,1b,c,dh,rf,cf,3b,2b,Dan Beatham,,
175,"Apr 15, 2009",coecor2,1,David Bartine,Michael Tierney,Casey Korn,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Matt Pfister,Jason Douglas,Jesse Searls,2,5,Adam Harrington,6,0211100,rf,cf,ss,3b,1b,dh,lf,c,2b,Jeff Boyle,"cornell college
",Cornell College,Jeff Boyle,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",5:00 pm   ,1:56   ,,"coe college
",Coe College,Jeff Wagner,Max Tunning,Pat Richmond,Ryan Velvick,Ryan Schisler,Tyler McAllister,Adam Nisenson,Scott DeAngelis,Jon Reiner,5,13,Ryan Nicholson,16,3140302,lf,3b,1b,cf,dh,ss,rf,2b,c,Ryan Nicholson, 65 degrees and s,Ryan Nicholson
110,"Mar 21, 2009",corsim2,,Corey Rasmussen,Jesse Reis,Curt Bjork,Cory Dawson,Chris Jones,Jared Swim,Dave Johnson,Scott Ethell,Jason Hayes,0,6,Mike Huyser,9,11100021,ss,2b,c,dh,lf,cf,1b,3b,rf,Clint Rhodes,"simpson college
",Simpson College,Casey Korn,,8.0,Y,,"Indianola, Iowa (McBride Field)",  ,2:45   ,,"cornell college
",Cornell College,David Bartine,Michael Tierney,Andrew Patzke,Ryan Clausen,Matt Pfister,Matthew Shimanovsky,Jason Douglas,Nick Weinmeister,Jesse Searls,0,5,Casey Korn,11,10030100,rf,cf,dh,1b,lf,ss,c,3b,2b,Casey Korn,                 ,Mike Huyser
49,04/07/09,lorari,,"Ramos, Mark","Hansen, Don","Wagle, John","Izzo, Eric","Hoffman, Dav","Schuetz, Kev","Lamb, Michae","Vezzetti, Jo","Moran, Joe",1,7,"Loiselle, Gr",12,00112012X,ss,rf,dh,1b,3b,cf,lf,c,2b,"Loiselle, Gr",augustana college,Augustana College,Cole Boge,,9.0,Y,,"Moline, Illinois (Swanson/Brunner)",4:03 pm   ,2:17   ,HP: Ted Timbrook  1B: Jay Wiechmann,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,John Schroeder,Austin Brown,Clark Egdorf,Adam Gross,Travis Olson,Tyler Shireman,2,3,Josh Russell,7,000200001,2b,ss,dh,c,lf,1b,cf,3b,rf,Cole Boge,,"Loiselle, Gr"
250,"Apr 24, 2009",bvuwar2,2,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Brock Yossi,Garrett Hill,Tyler Case,Michael Stephenson,1,5,Chris Bireline,8,0100004X,ss,1b,p,lf,c,3b,rf,cf,2b,Brandon Pietrzyk,#18 buena vista univ.,#18 Buena Vista Univ.,Brandon Pietrzyk,,8.0,Y,,"Storm Lake, Iowa (BVU/Storm Lake Field)",7:30pm   ,1:40   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Kyle Jones,A.J. Lewis,Steve Chamberlin,Zach Nagle,3,7,Brad Watson,7,13010200,lf,ss,dh,1b,cf,rf,c,2b,3b,Brad Watson,,Brad Watson
,"Mar 07, 2009",simrfrd2,2,Corey Rasmussen,Zach Smith,Jesse Reis,Scott Ethell,Cory Dawson,Curt Bjork,Jared Swim,Chris Jones,Jason Hayes,3,6,Miles Swenson,6,0040020,ss,dh,2b,3b,1b,c,cf,lf,rf,Chris Dorff,"simpson college
",Simpson College,Chris Dorff,,7.0,N,,"Phoenix, AZ (Gene Autry Park)",  ,  ,,rockford college,Rockford College,Dascher,Clay,Brockman,Wiest,Scheffler,Nicholson,Dercks,Blaine,Polster,3,14,Korth,14,0801104,cf,lf,1b,c,dh,rf,ss,3b,2b,Jones,,
,"Apr 23, 2009",dbqclk1,,"Molitor, D.","Kroese, J.","Jimenez, M.","Briggs, C.","Spain, D.","Davidson, C.","Harvat, T.","Bowles, N.","Bledsoe, S.",4,14,"Weyrauch, N.",16,101305013,cf,lf,3b,1b,ss,rf,dh,2b,c,"Kelly, R.",clarke college,Clarke College,Eric Rausch,,9.0,Y,,"Peosta, IA",06:00 pm   ,08:51 pm   ,,"dubuque, univ. of","Dubuque, Univ. of",Richard Garcia,Bill Albee,Shadi Abuhakmeh,Chris Duran,Evan Bierman,Alex Larson,Jeffrey Stevens,Jacob Rannals,Orlando Mejia,0,13,Steve Skutley,14,200123050,dh,1b,c,2b,3b,lf,rf,cf,ss,Eric Rausch,,"Kelly, R."
,"Mar 20, 2009",lutccm2,2,Nate Neis,Chris Reynolds,Jake Waddle,Ben Schott,Mark Weber,Matthew Bruhn,Joe Thompson,Steve Beckman,Alex Thomas,2,3,Augie Lindmark,6,2000010,3b,2b,c,1b,dh,lf,rf,ss,cf,Nate Todd,"luther college
",Luther College,Nate Todd,,7.0,Y,,"Mesa, Arizona (Mountain View H.S.)",  ,  ,,concordia-moorhead,Concordia-Moorhead,Krause,Wackler,Haase,K.Johnson,Schumacher,A.Johnson,M.Carlson,Emmerich,Sykora,1,4,Syrstad,7,0000130,ss,2b,dh,c,1b,lf,rf,cf,3b,Torrison,,Torrison
60,"Mar 16, 2009",bvumlc1,1,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Brock Yossi,Nick Maxwell,Tyler Case,Brett Wilson,0,9,Tregg Fay,14,200232X,ss,1b,rf,dh,c,3b,lf,cf,2b,Jarad George,"buena vista university
",Buena Vista Univ.,Pudlo,,7.0,Y,,"Storm Lake, Iowa (BVU/SL Baseball)",2:00pm   ,3:44   ,,martin luther coll.,Martin Luther Coll.,Holzhueter,Scott,Krause,Morgan,Pudlo,Gurgel,"Janke, J.",Hansen,Janke,4,2,Pudlo,9,1010000,ss,2b,cf,c,p,1b,rf,lf,3b,Pudlo,,Jarad George
78,"Apr 21, 2009",dbqlor1,1,Chris Hylland,Chris Duran,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Evan Bierman,Richard Garcia,Jeffrey Stevens,Caleb Russell,2,3,Julian Cantu,8,2000001,2b/ss,1b,c,dh,cf,3b,lf,rf,ss,Jordan Skaar,"dubuque, univ. of","Dubuque, Univ. of",Jordan Skaar,,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",1 p.m.   ,2:10   ,,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,John Schroeder,Austin Brown,BJ Juergens,Kyle Soeder,Tyler Shireman,Adam Gross,1,12,Zach Schwartz,15,1250211,2b,ss,3b,c,lf,1b,dh,rf,cf,Kyler Laurie,,Kyler Laurie
418,"Apr 10, 2009",bvucoe1,,Jeff Wagner,Adam Nisenson,Pat Richmond,Ryan Velvick,Ryan Schisler,Tyler McAllister,Nick McKenzie,Scott DeAngelis,Jon Reiner,4,9,Sean Raisch,14,0000122400,lf,rf,1b,cf,3b,ss,dh,2b,c,Ryan Nicholson,"coe college
",Coe College,Sean Raisch,,10.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:40 pm   ,3:00   ,,#9 buena vista univ.,#9 Buena Vista Univ.,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Brock Yossi,Tyler Case,Michael Stephenson,2,11,Kyle Dupic,15,0000400502,ss,3b,rf,lf,c,1b,dh,cf,2b,Ryan Wuebker,,Kyle Dupic
71,"Apr 04, 2009",lutwar3,,Ben Roemmich,Danny Rose,Mike Johnson,Billy Schmitt,Patrick Grau,Kyle Jones,A.J. Lewis,Jerrold Martijn,Zach Nagle,2,14,Nate Rost,11,0250007,lf,ss,1b,3b,cf,rf,c,dh,2b,Jake Kuennen,"wartburg college
",Wartburg College,Adam Kohls,,7.0,Y,,"Waverly, Iowa (Hertel Field)",12:03PM   ,2:07   ,HP: Blair Gleason  1B: Dustin Lutterman,"luther college
",Luther College,Nate Neis,Chris Reynolds,Zack Topping,Jake Waddle,Ben Schott,Steve Beckman,Mark Weber,Joe Thompson,Alex Thomas,5,2,Paul Pichelmann,6,1000010,2b,ss,dh,c,1b,3b,lf,rf,cf,Adam Kohls,,Jake Kuennen
80,"Apr 19, 2009",bvucen3,2,Ben Tressel,Anthony Miller,Caleb Rangel,Jarred Lackey,Mike Furlong,Derek Knutson,Jason Hassman,Josh Stanton,Dave Lakin,1,7,Josh Nalan,13,0330010,cf/rf,3b,lf,rf/cf,ss,dh,1b,c,2b,Adam Squires,"central college
",Central College,Shane Nelson,,7.0,Y,,"Pella, Iowa (P.H. Kuyper Field)",4:30 pm   ,2:11   ,HP: Tim Dunphy  1B: Rich Chopon,#9 buena vista univ.,#9 Buena Vista Univ.,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Garrett Hill,Brock Yossi,Tyler Case,Michael Stephenson,2,10,Chris Bireline,9,4006000,ss,1b,rf,lf,c,dh,3b,cf,2b,Luke Probasco,,Luke Probasco
250,"Mar 10, 2009",coeweb1,,Raetzloff,Huey,Biagini,Fuiten,Schaefer,Combs,Little,Senzell,Bielanski,7,5,Amrhein,6,0010031,cf,rf,1b,3b,dh,c,ss,2b,lf,Gebhardt,"webster university
",Webster University,Gebhardt,,7.0,Y,,"Winter Haven, FL (Chain of Lakes Park)",7 p.m.   ,  ,,"coe college
",Coe College,Scott DeAngelis,Pat Richmond,Tyler McAllister,Ryan Velvick,Ryan Schisler,Cody Raisch,Adam Nisenson,Nick McKenzie,Jon Reiner,3,16,Kevin Baranowski,15,1942000,2b,1b,ss,rf,3b,dh,cf,lf,c,Kevin Baranowski,,Kevin Baranowski
79,"May 01, 2009",dbqlut1,,Nate Neis,Chris Reynolds,Jake Waddle,Zack Topping,Mark Weber,Steve Beckman,Ben Schott,Joe Thompson,Alex Thomas,0,16,Nate Todd,14,128050X,3b,2b,c,dh,lf,ss,1b,rf,cf,Nate Todd,"luther college
",Luther College,Cole Freese,,7.0,Y,,"Decorah, Iowa (Luther College)",3:00 pm   ,1:45   ,,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Bill Albee,Shadi Abuhakmeh,Evan Bierman,Alex Larson,Jesse Ramirez,Chris Hylland,Jeffrey Stevens,Orlando Mejia,4,1,Steve Skutley,4,0000010,lf,1b,dh,3b,cf,c,2b,rf,ss,Cole Freese,,Nate Todd
154,"Mar 01, 2009",coewust2,2,Lehmann,"Kennedy, G.",Wenzel,"Kennedy, S.",Bayer,Skinner,"Midkiff, R.",Davis,Webb,0,2,Hrovat,7,00100001,rf,cf,2b,lf,dh,1b,ss,3b,c,Rogoff,washington u.,Washington U.,Sean Raisch,,8.0,Y,,"St. Louis, Mo. (Kelly Field)",2:30 pm   ,2:11   ,,"coe college
",Coe College,Nick McKenzie,Pat Richmond,Tyler McAllister,Ryan Schisler,Ryan Velvick,Cody Raisch,Sean Raisch,Jon Reiner,Scott DeAngelis,1,1,Sean Raisch,5,00000100,cf,1b,ss,lf/3b,rf,dh,3b/p,c,2b,Alec Lewis,,Hrovat
32,"Mar 07, 2009",lorgac1,1,T. Fish,N. Ruff,M. DesLaurie,C. Eul,M. Morgan,Al. Woitas,G. Lane,An. Woitas,B. Boyd,2,2,D. Eddie,7,0000200,3b,2b,ss,dh,c,1b,lf,cf,rf,T. Herman,"gustavus adolphus
",Gustavus Adolphus,T. Herman,,7.0,Y,,"Minneapolis, MN (HHH Metrodome)",6:00 am   ,1:40   ,HP: Robin Johnson  1B: Dave Wil,"loras college
",Loras College,Adam Gross,Ben Kuebel,Nick Olberding,Clark Egdorf,Austin Brown,BJ Juergens,John Schroeder,Tyler Shireman,Alex Miklo,2,4,Kevin Moriarity,7,0031000,cf,3b,ss,1b,lf,dh,c,rf,2b,Kevin Moriarity,,Kevin Moriarity
,"Mar 22, 2009",lutgac2,2,Nate Neis,Chris Reynolds,Jake Waddle,Ben Schott,Zack Topping,Joe Thompson,Mark Weber,Steve Beckman,Alex Thomas,6,15,Darin Schneider,18,0062322,3b,2b,c,1b,dh,rf,lf,ss,cf,Eric Nordstrom,"luther college
",Luther College,Eric Nordstrom,,7.0,Y,,"Chandler, Arizona (Snedigar #1)",  ,  ,,"gustavus adolphus
",Gustavus Adolphus,M. DesLaurie,T. Fish,Al. Woitas,T. Herman,An. Woitas,M. Morgan,B. Boyd,C. Eul,E. Sveen,1,16,C. Sukalski,15,3912010,ss,2b,1b,3b,cf,c,rf,dh,lf,C. Sukalski,,C. Sukalski
33,"Mar 15, 2009",dbqmacm2,2,Mikie,10,Jordan,Jamison,James,Curtis,25,Tyler,Joe,7,2,Nick,7,0100100,lf,2b,3b,rf,dh,1b,cf,c,ss,Nick,macmurray college,MacMurray College,Nick,,7.0,Y,,"Jacksonville, Ill.",  ,  ,,"dubuque, univ. of","Dubuque, Univ. of",Ryan Pyles,Caleb Russell,Evan Bierman,Alex Larson,Chris Duran,Jeffrey Stevens,Michael Loney,Bill Albee,Mark Hennessy,0,14,Blayke Conway,14,0016142,rf,ss,dh,cf,2b,3b,lf,1b,c,Blayke Conway,,Blayke Conway
26,"Mar 13, 2009",dbqaur2,2,Wilson,Damore,Wellner,Peterson,Warner,Williamson,Anklam,Fitzgerald,Shriner,1,11,Pisano,10,060032X,2b,ss,cf,1b,rf,c,dh,3b,lf,Pagano,aurora university,Aurora University,Justin Ramos,,7.0,Y,,"Eagle Lake, Fla. (Lake Region HS)",12:30 pm   ,2:08   ,,"dubuque, univ. of","Dubuque, Univ. of",Ryan Pyles,Richard Garcia,Jesse Ramirez,Shadi Abuhakmeh,Chris Duran,Alex Larson,Jeffrey Stevens,Chris Hylland,Caleb Russell,3,3,Steve Skutley,7,0001110,rf,lf,dh,c,1b,cf,3b,ss,2b,Justin Ramos,,Pagano
250,"Mar 08, 2009",coehus2,2,Kyle Vanides,Ethan Gueret,Chris Maguir,Nick Arthers,Dennis Graha,Jeff Miller,Jake Arthers,Tom Crews,Cody Haverly,0,5,Dennis Graha,9,2000003,lf,ss,1b,c,dh/p,rf,3b,cf,2b,Chris Morris,husson university,Husson University,Teren Bladel,,7.0,Y,,"Orlando, Fla. (Chain of Lakes)",11:00 am   ,  ,,"coe college
",Coe College,Adam Nisenson,Pat Richmond,Tyler McAllister,Ryan Velvick,Ryan Schisler,Cody Raisch,Nick Robertson,Spencer Sobba,Max Tunning,0,4,Teren Bladel,8,0000040,cf,1b,ss,rf,3b,dh,lf,c,2b,Sean Raisch,,Dennis Graha
150,"Apr 11, 2009",cendbq3,2,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Ben Chestnut,Blake Smith,Dave Lakin,1,1,Shane Nelson,8,0010000,cf,ss,lf,1b,rf,3b,dh,c,2b,Joel Pulliam,"central college
",Central College,Joel Pulliam,,7.0,Y,,"Pella, Iowa (A.N. Kuyper Field)",4 p.m.   ,2:05   ,HP: Jay Wichmann  1B: Eric Thornton,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Richard Garcia,Evan Bierman,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Chris Hylland,Michael Hoppman,Orlando Mejia,3,8,Mark Hennessy,10,0020411,1b,lf,3b,c,rf,cf,2b,dh,ss,Mark Hennessy,,Mark Hennessy
204,"May 02, 2009",corlor3,2,Michael Tierney,Caleb Wilson,Casey Korn,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Andy Krekel,Jason Douglas,Ryan Fincham,2,4,David de Besche,6,3000010,lf,rf,ss,3b,1b,2b,dh,c,cf,Sean Ransick,"cornell college
",Cornell College,Sean Ransick,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",3:59 PM   ,1:47   ,,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,Clark Egdorf,John Schroeder,Austin Brown,BJ Juergens,Tyler Shireman,Adam Gross,0,10,Kyler Laurie,8,6100030,2b,ss,3b,1b,c,lf,dh,rf,cf,Kyler Laurie,,Kyler Laurie
,"Mar 25, 2009",lutuchi2,2,Schmitt,Osman,Hofer,McConologue,Capps,Serpico,Callahan,Gonzalez,Fazzari,2,12,Serpico,11,0800301,cf,lf,1b,3b,rf,ss/p,dh,c,2b/ss,Leonhardt,u of chicago,U of Chicago,Greg Siems,,7.0,Y,,"Phoenix, Arizona",  ,  ,,"luther college
",Luther College,Nate Neis,Chris Reynolds,Jake Waddle,Ben Schott,Zack Topping,Matthew Bruhn,Joe Thompson,Steve Beckman,Alex Thomas,3,11,Augie Lindmark,10,6000032,3b,2b/ss,rf,1b,dh,lf,c,ss,cf,Jeff Riddle,,Leonhardt
100,"Apr 18, 2009",lorlut2,1,Alex Miklo,Nick Olberding,Ben Kuebel,John Schroeder,Clark Egdorf,Austin Brown,BJ Juergens,Tyler Shireman,Adam Gross,1,5,Alex Mallonee,8,2200100,2b,ss,3b,c,dh,lf,1b,rf,cf,Kevin Moriarity,"loras college
",Loras College,Kevin Moriarity,,7.0,Y,,"Dubuque, IA (Petrakis Park)",11:15 am   ,2:10   ,,"luther college
",Luther College,Nate Neis,Chris Reynolds,Jake Waddle,Zack Topping,Ben Schott,Steve Beckman,Mark Weber,Joe Thompson,Alex Thomas,4,8,Jeff Riddle,10,0303200,3b,2b,c,dh,1b,ss,lf,rf,cf,Cody Hyland,,Cody Hyland
309,"Mar 20, 2009",cencoe1,,Scott DeAngelis,Adam Nisenson,Tyler McAllister,Ryan Velvick,Ryan Schisler,John Logan,Pat Richmond,Nick McKenzie,Jon Reiner,3,8,Cody Raisch,10,08000000X,2b,cf,ss,rf,3b,dh,1b,lf,c,Cody Raisch,"coe college
",Coe College,Adam Squires,,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:00 pm   ,2:22   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Quinn O'Brien,Tyler Wivinis,1,2,Trevor Talbott,9,000200000,cf,2b,lf,rf,1b,3b,dh,c,ss,Adam Squires,,Cody Raisch
50,"Mar 02, 2009",warrit1,,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,A.J. Lewis,Kyle Jones,Zach Nagle,Steve Chamberlin,2,6,Jerrold Martijn,12,1001112,lf,ss,p,1b,cf,c,rf,3b,2b,Jerrold Martijn,"wartburg college
",Wartburg College,Greco,,7.0,Y,,"Phoenix, Ariz.",3:30 pm   ,1:45   ,,rochester inst. tech,Rochester Inst. Tech,Culotta,Desrosiers,Tosh,Kernan,Rodems,Creagh,Hughes,Austin,Smith,1,5,Greco,7,0140000,cf,3b,ss,dh,c,rf,2b,1b,lf,Miller,,Jerrold Martijn
